,added_at,artist_ids,artists,id,name,release_date
0,2019-07-27T03:13:08Z,1cNDP5yjU5vjeR8qMf4grg,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,2018-08-03
1,2019-07-27T03:11:24Z,"02kJSzxNuaWGqwubyUba0Z, 13ubrt8QOOCPljQ2FL1Kca, 4kYSro6naA4h99UJvo89HB","G-Eazy, A$AP Rocky, Cardi B",2Xqd0wUttjueBfdcltADOv,No Limit,2017-09-07
2,2019-07-27T03:06:08Z,7Hjbimq43OgxaBRpFXic4x,Saba,3au0pvHqcTtszysswan6AO,LIFE,2018-04-05
3,2019-07-26T23:37:28Z,7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,27oFpFktCq9JIXjJQRuv7a,GOTTI,2018-04-10
4,2019-07-26T23:33:07Z,"0j9cHGhzQCSi0A7SmtUKlD, 7gZfnEnfiaHzxARJ2LeXrf","Lil AK, 6ix9ine",1jiU6aaNmohuneyoEO0BsM,LANES,2019-02-13
5,2019-07-26T23:30:10Z,7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,5KhFaq45chTw8RGfWo8T8J,BILLY,2018-04-10
6,2019-07-26T23:21:25Z,"7gZfnEnfiaHzxARJ2LeXrf, 0hCNtLu0JehylgoiP8L4Gh, 3CbYyyd8wH3RT6t0jwpdzC","6ix9ine, Nicki Minaj, Murda Beatz",2l8nEO0vsTRCRnGqQty6qx,FEFE,2018-11-27
7,2019-07-26T04:08:50Z,0c173mlxpT3dSFRgMO8XPh,Big Sean,7IP0lO9tHfNwBWZ9X6TJ84,Single Again,2019-07-26
8,2019-07-24T23:32:52Z,"4O15NlyKLIASxsJ0PrXPfz, 699OTQXzgjhIYAHMy9RyPD, 4DdkRBBYG6Yk9Ka8tdJ9BW","Lil Uzi Vert, Playboi Carti, Offset",0gqfvyewE2Sh8TwKBFajCF,Of Course We Ghetto Flowers (feat. Playboi Carti & Offset),2016-08-10
9,2019-07-24T23:30:35Z,"7gZfnEnfiaHzxARJ2LeXrf, 4DdkRBBYG6Yk9Ka8tdJ9BW","6ix9ine, Offset",3KI2tvmmWPlSznTku95T9T,GUMMO - Remix,2018-02-23
10,2019-07-24T23:24:44Z,"4DdkRBBYG6Yk9Ka8tdJ9BW, 0iEtIxbK0KxaSlF7G42ZOp","Offset, Metro Boomin",7LAhKXDNWwq3CmnFP3UIOP,Nightmare,2017-10-30
11,2019-07-24T12:05:41Z,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,56Rmib5mhCfiaSJqhLgEdW,Hard Place - Single Version,2019-02-25
12,2019-07-23T05:14:01Z,1cZQSpDsxgKIX2yW5OR9Ot,Lennon Stella,6rZGmXgK5CHbsJGwjiPFd4,Fortress,2018-11-09
13,2019-07-22T22:10:06Z,"1iNqsUDUraNWrj00bqssQG, 6l3HvQ5sa6mXTsMTB19rO5, 75WcpJKWXBV3o3cfluWapK, 4r63FhuTkUYltbVAg5TQnk","Dreamville, J. Cole, Lute, DaBaby",6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),2019-07-05
14,2019-07-22T04:28:11Z,"60d24wfXkVzDSfLS6hyCjZ, 64M6ah0SkkRsnPGtGiRAbb","Martin Garrix, Bebe Rexha",23L5CiUhw2jV1OIMwthR3S,In the Name of Love,2016-07-29
15,2019-07-22T04:27:19Z,"60d24wfXkVzDSfLS6hyCjZ, 1NbmG1Fj64qykEcJt1d43a","Martin Garrix, JRM",5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),2019-07-18
16,2019-07-22T04:23:12Z,3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,5dW1VZPcFqB4n0P08rGDgm,The Git Up,2019-05-03
17,2019-07-22T04:22:49Z,"7bXgB6jMjp9ATFy66eO08Z, 3TVXtAsR1Inumwj472S9r4","Chris Brown, Drake",6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),2019-06-28
18,2019-07-22T04:21:16Z,"3nFkdlSjzX9mRTtwJOzDYB, 5K4W6rqBFWDnAN6FQUkS6x","JAY Z, Kanye West",4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,2011-01-01
